link,price,area,room,toilet,address,lat,long
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ban-dat-2-mat-tien-tran-hung-dao-290m2-id22056491,44 tỷ 800 triệu,290 m2,0 PN,0 WC,"Trần Hưng Đạo, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.0734,108.22889
https://mogi.vn/quan-son-tra/mua-nha-hem-ngo/ban-nha-3-tang-mt-nai-hien-dong-12-son-tra-3-8-ty-id21945314,3 tỷ 800 triệu,69 m2,3 PN,2 WC,"Nại Hiên Đông 12, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",16.09412,108.2287
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-mt-trinh-loi-duong-7m5-gan-mac-cuu-nam-viet-a-khue-my-4-2ty-id21902866,4 tỷ 200 triệu,95 m2,0 PN,0 WC,"Trịnh Lỗi, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02637,108.24249
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-mat-tien-an-hai-12-gan-song-han-an-hai-bac-son-tra-2-65-ty-id22034349,2 tỷ 650 triệu,52 m2,2 PN,1 WC,"An Hải 10, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.0854,108.23467
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/gia-tot-ban-dat-mt-my-da-tay-10-duong-5m-nam-viet-a-khue-my-3-5-ty-id21951317,3 tỷ 500 triệu,86 m2,0 PN,0 WC,"Mỹ Đa Tây 1, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03506,108.23964
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ban-nha-mt-tien-son-14-gan-cho-dau-moi-hai-chau-id21978657,4 tỷ 490 triệu,85 m2,3 PN,2 WC,"Tiên Sơn 14, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",16.03099,108.22059
https://mogi.vn/quan-cam-le/mua-nha-mat-tien-pho/ban-nha-dep-mat-tien-ho-trung-luong-hoa-xuan-id22063836,5 tỷ 690 triệu,100 m2,3 PN,4 WC,"Hồ Trung Lượng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",16.01792,108.2324
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/giam-300tr-ban-dat-121m2-mt-nguyen-dinh-chieu-gan-nam-viet-a-khue-my-id21945824,4 tỷ 900 triệu,121 m2,0 PN,0 WC,"Nguyễn Đình Chiểu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02474,108.24536
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ban-nha-2-tang-mat-tien-kd-thanh-thuy-thanh-binh-hai-chau-chi-5-8-ty-id21908161,5 tỷ 800 triệu,57 m2,2 PN,2 WC,"Thanh Thủy, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",16.08283,108.21394
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-mt-hoai-thanh-7m5-gan-truong-dh-kinh-te-my-an-nhs-3-95-ty-id22149069,3 tỷ 950 triệu,61 m2,0 PN,0 WC,"Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.04402,108.23856
https://mogi.vn/quan-hai-chau/mua-duong-noi-bo/ban-nha-dep-3-5-tang-kiet-4m-ly-tu-trong-hai-chau-id21981336,5 tỷ 600 triệu,59 m2,3 PN,4 WC,"Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",16.07728,108.22003
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-mt-duong-an-cu-4-gan-bien-pham-van-dong-an-hai-bac-son-tra-id22044511,5 tỷ 650 triệu,67 m2,1 PN,2 WC,"An Cư 4, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.07686,108.23455
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/ban-nha-kiet-2t-x-92m2-dien-bien-phu-gan-phan-thanh-thanh-khe-3-5-ty-id22152814,3 tỷ 500 triệu,92 m2,4 PN,2 WC,"Điện Biên Phủ, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",16.06578,108.20387
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ban-2-lo-dat-ngo-quang-huy-sat-vuong-thua-vu-cach-bien-300m-son-tra-id22063792,16 tỷ 500 triệu,180 m2,0 PN,0 WC,"Vương Thừa Vũ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",16.08053,108.24418
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-my-an-7-gan-d-a-sun-group-cau-tran-thi-ly-id22092483,5 tỷ 200 triệu,100 m2,0 PN,0 WC,"Mỹ An 7, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.04717,108.23687
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-2-lo-lien-ke-mat-tien-do-ba-duong-10m5-cach-bien-100m-my-an-42-ty-id22058882,42 tỷ,180 m2,0 PN,0 WC,"Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.05085,108.24319
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-3-tang-mt-tran-hung-dao-view-song-han-gan-cau-quay-son-tra-id22095874,17 tỷ 500 triệu,100 m2,5 PN,3 WC,"Trần Hưng Đạo, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",16.08328,108.22888
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-5-tang-an-thuong-38-co-7-ph-studio-thu-30-tr-th-my-an-8-5-ty-id22092404,8 tỷ 500 triệu,60 m2,7 PN,7 WC,"An Thượng 36, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.05271,108.24424
